PLAYER{[item0,Un-Dye][item0quantity,99][item1,none][item1quantity,0][item2,none][item2quantity,0][item3,none][item3quantity,0][item4,none][item4quantity,0][item5,none][item5quantity,0][item6,none][item6quantity,0][item7,none][item7quantity,0][item8,none][item8quantity,0][item9,none][item9quantity,0][item10,Overcoat (Cyan)][item10quantity,1][item11,none][item11quantity,0][item12,none][item12quantity,0][item13,Bunny Ears (Pink)][item13quantity,1][item14,none][item14quantity,0][item15,Cyan Dye][item15quantity,97][item16,Jeans (Cyan)][item16quantity,1][item17,none][item17quantity,0][item18,none][item18quantity,0][item19,none][item19quantity,0][item20,none][item20quantity,0][item21,Sailcloth (Cyan)][item21quantity,1][item22,none][item22quantity,0][item23,Cat Ears (Pink)][item23quantity,1][item24,Sneakers (Cyan)][item24quantity,1][item25,Short-sleeve Tee (Cyan)][item25quantity,1][item26,Sunglasses (Red)][item26quantity,1][item27,none][item27quantity,0][item28,none][item28quantity,0][item29,none][item29quantity,0][item30,none][item30quantity,0][item31,none][item31quantity,0][item32,none][item32quantity,0][item33,none][item33quantity,0][item34,none][item34quantity,0][item35,none][item35quantity,0][item36,none][item36quantity,0][item37,none][item37quantity,0][item38,none][item38quantity,0][item39,none][item39quantity,0][item40,none][item40quantity,0][item41,none][item41quantity,0][item42,Pink Dye][item42quantity,94][item43,none][item43quantity,0][item44,none][item44quantity,0][item45,none][item45quantity,0][item46,none][item46quantity,0][item47,none][item47quantity,0][item48,none][item48quantity,0][item49,none][item49quantity,0][hat,Dog Mask (Cyan)][shirt,Striped Shirt (Navy)][outerwear,clothingnone][pants,Super Shorts (Pink)][socks,Striped Socks (Cyan)][shoes,clothingnone][gloves,clothingnone][earrings,Piercing (Pink)][scarf,clothingnone][glasses,clothingnone][back,Cat Tail (Cyan)][sailcloth,Sailcloth (Navy)][accessory1,clothingnone][accessory2,clothingnone][accessory3,clothingnone][skin,Skin Peach][hair,Dirty Jack (Hair Solar Blond)][facialhair,clothingnone][eyes,Eyes Dot][gold,3000]}
SHIPPING_BIN{[id,farmShippingBin][numItems,0][area,FARM]}
PLACEABLE{[positionX,704][positionY,320][tileX,88][tileY,40][entitytype,FARMHOUSE][wallsDye,Pink Dye][roofDye,Black Dye][trimDye,Black Dye][area,FARM]}
PLACEABLE{[positionX,40][positionY,368][tileX,5][tileY,46][entitytype,GRASS][sprite,winterR][area,FARM]}
PLACEABLE{[positionX,1048][positionY,352][tileX,131][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1072][positionY,352][tileX,134][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1080][positionY,352][tileX,135][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1088][positionY,352][tileX,136][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1128][positionY,352][tileX,141][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1200][positionY,376][tileX,150][tileY,47][entitytype,GRASS][sprite,winter][area,FARM]}
PLACEABLE{[positionX,1280][positionY,352][tileX,160][tileY,44][entitytype,GRASS][sprite,winterL][area,FARM]}
PLACEABLE{[positionX,1312][positionY,352][tileX,164][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1320][positionY,352][tileX,165][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1384][positionY,352][tileX,173][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1400][positionY,352][tileX,175][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1416][positionY,352][tileX,177][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1448][positionY,352][tileX,181][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1456][positionY,352][tileX,182][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1472][positionY,352][tileX,184][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1640][positionY,336][tileX,205][tileY,42][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1656][positionY,336][tileX,207][tileY,42][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1720][positionY,352][tileX,215][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1744][positionY,352][tileX,218][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1768][positionY,352][tileX,221][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1800][positionY,352][tileX,225][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1816][positionY,368][tileX,227][tileY,46][entitytype,GRASS][sprite,winter][area,FARM]}
PLACEABLE{[positionX,1840][positionY,368][tileX,230][tileY,46][entitytype,GRASS][sprite,winter][area,FARM]}
PLACEABLE{[positionX,1848][positionY,360][tileX,231][tileY,45][entitytype,GRASS][sprite,winterL][area,FARM]}
PLACEABLE{[positionX,1880][positionY,392][tileX,235][tileY,49][entitytype,GRASS][sprite,winter][area,FARM]}
PLACEABLE{[positionX,1896][positionY,376][tileX,237][tileY,47][entitytype,GRASS][sprite,winter][area,FARM]}
PLACEABLE{[positionX,1936][positionY,352][tileX,242][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1952][positionY,352][tileX,244][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1968][positionY,352][tileX,246][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1992][positionY,352][tileX,249][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,2056][positionY,352][tileX,257][tileY,44][entitytype,GRASS][sprite,winterR][area,FARM]}
PLACEABLE{[positionX,224][positionY,336][tileX,28][tileY,42][entitytype,GRASS][sprite,winterL][area,FARM]}
PLACEABLE{[positionX,296][positionY,352][tileX,37][tileY,44][entitytype,GRASS][sprite,winterL][area,FARM]}
PLACEABLE{[positionX,312][positionY,352][tileX,39][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,320][positionY,352][tileX,40][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,392][positionY,352][tileX,49][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,416][positionY,352][tileX,52][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,544][positionY,352][tileX,68][tileY,44][entitytype,GRASS][sprite,winterR][area,FARM]}
PLACEABLE{[positionX,784][positionY,344][tileX,98][tileY,43][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1040][positionY,352][tileX,130][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1056][positionY,352][tileX,132][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1176][positionY,368][tileX,147][tileY,46][entitytype,GRASS][sprite,winter][area,FARM]}
PLACEABLE{[positionX,1232][positionY,376][tileX,154][tileY,47][entitytype,GRASS][sprite,winter][area,FARM]}
PLACEABLE{[positionX,1240][positionY,392][tileX,155][tileY,49][entitytype,GRASS][sprite,winter][area,FARM]}
PLACEABLE{[positionX,1272][positionY,368][tileX,159][tileY,46][entitytype,GRASS][sprite,winter][area,FARM]}
PLACEABLE{[positionX,1344][positionY,352][tileX,168][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1352][positionY,352][tileX,169][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1424][positionY,352][tileX,178][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1432][positionY,352][tileX,179][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1480][positionY,352][tileX,185][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1488][positionY,352][tileX,186][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1520][positionY,352][tileX,190][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1528][positionY,352][tileX,191][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1536][positionY,352][tileX,192][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1568][positionY,352][tileX,196][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1576][positionY,352][tileX,197][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1608][positionY,336][tileX,201][tileY,42][entitytype,GRASS][sprite,winterL][area,FARM]}
PLACEABLE{[positionX,1616][positionY,336][tileX,202][tileY,42][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1672][positionY,344][tileX,209][tileY,43][entitytype,GRASS][sprite,winterL][area,FARM]}
PLACEABLE{[positionX,1704][positionY,352][tileX,213][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1712][positionY,352][tileX,214][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1776][positionY,352][tileX,222][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1808][positionY,352][tileX,226][tileY,44][entitytype,GRASS][sprite,winterR][area,FARM]}
PLACEABLE{[positionX,1864][positionY,360][tileX,233][tileY,45][entitytype,GRASS][sprite,winterR][area,FARM]}
PLACEABLE{[positionX,2008][positionY,352][tileX,251][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,48][positionY,376][tileX,6][tileY,47][entitytype,GRASS][sprite,winter][area,FARM]}
PLACEABLE{[positionX,96][positionY,352][tileX,12][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,160][positionY,352][tileX,20][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,176][positionY,344][tileX,22][tileY,43][entitytype,GRASS][sprite,winterL][area,FARM]}
PLACEABLE{[positionX,208][positionY,344][tileX,26][tileY,43][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,352][positionY,352][tileX,44][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,496][positionY,352][tileX,62][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,504][positionY,352][tileX,63][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,512][positionY,352][tileX,64][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,536][positionY,352][tileX,67][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1000][positionY,352][tileX,125][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1208][positionY,368][tileX,151][tileY,46][entitytype,GRASS][sprite,winterL][area,FARM]}
PLACEABLE{[positionX,1360][positionY,352][tileX,170][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1376][positionY,352][tileX,172][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1392][positionY,352][tileX,174][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1560][positionY,352][tileX,195][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1624][positionY,336][tileX,203][tileY,42][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1648][positionY,336][tileX,206][tileY,42][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1664][positionY,336][tileX,208][tileY,42][entitytype,GRASS][sprite,winterR][area,FARM]}
PLACEABLE{[positionX,1688][positionY,352][tileX,211][tileY,44][entitytype,GRASS][sprite,winterL][area,FARM]}
PLACEABLE{[positionX,1728][positionY,352][tileX,216][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1760][positionY,352][tileX,220][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1928][positionY,352][tileX,241][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,24][positionY,376][tileX,3][tileY,47][entitytype,GRASS][sprite,winterR][area,FARM]}
PLACEABLE{[positionX,32][positionY,368][tileX,4][tileY,46][entitytype,GRASS][sprite,winterL][area,FARM]}
PLACEABLE{[positionX,152][positionY,352][tileX,19][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,216][positionY,344][tileX,27][tileY,43][entitytype,GRASS][sprite,winterR][area,FARM]}
PLACEABLE{[positionX,304][positionY,352][tileX,38][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,360][positionY,352][tileX,45][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,368][positionY,352][tileX,46][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,376][positionY,352][tileX,47][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,384][positionY,352][tileX,48][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,408][positionY,352][tileX,51][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,432][positionY,352][tileX,54][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,464][positionY,352][tileX,58][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,480][positionY,352][tileX,60][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1112][positionY,352][tileX,139][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1120][positionY,352][tileX,140][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1496][positionY,352][tileX,187][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1544][positionY,352][tileX,193][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1552][positionY,352][tileX,194][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1632][positionY,336][tileX,204][tileY,42][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1696][positionY,352][tileX,212][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1904][positionY,352][tileX,238][tileY,44][entitytype,GRASS][sprite,winterL][area,FARM]}
PLACEABLE{[positionX,1944][positionY,352][tileX,243][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1960][positionY,352][tileX,245][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,2000][positionY,352][tileX,250][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,2048][positionY,352][tileX,256][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,8][positionY,384][tileX,1][tileY,48][entitytype,GRASS][sprite,winter][area,FARM]}
PLACEABLE{[positionX,112][positionY,352][tileX,14][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,240][positionY,336][tileX,30][tileY,42][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,264][positionY,336][tileX,33][tileY,42][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,328][positionY,352][tileX,41][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,344][positionY,352][tileX,43][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,488][positionY,352][tileX,61][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,520][positionY,352][tileX,65][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,528][positionY,352][tileX,66][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,728][positionY,344][tileX,91][tileY,43][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1152][positionY,352][tileX,144][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1216][positionY,368][tileX,152][tileY,46][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1224][positionY,368][tileX,153][tileY,46][entitytype,GRASS][sprite,winterR][area,FARM]}
PLACEABLE{[positionX,1328][positionY,352][tileX,166][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1336][positionY,352][tileX,167][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1440][positionY,352][tileX,180][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1464][positionY,352][tileX,183][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1736][positionY,352][tileX,217][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1784][positionY,352][tileX,223][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1872][positionY,376][tileX,234][tileY,47][entitytype,GRASS][sprite,winter][area,FARM]}
PLACEABLE{[positionX,2024][positionY,352][tileX,253][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,2064][positionY,368][tileX,258][tileY,46][entitytype,GRASS][sprite,winter][area,FARM]}
PLACEABLE{[positionX,2072][positionY,384][tileX,259][tileY,48][entitytype,GRASS][sprite,winter][area,FARM]}
PLACEABLE{[positionX,120][positionY,352][tileX,15][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,288][positionY,344][tileX,36][tileY,43][entitytype,GRASS][sprite,winter][area,FARM]}
PLACEABLE{[positionX,1304][positionY,352][tileX,163][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1408][positionY,352][tileX,176][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1512][positionY,352][tileX,189][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1976][positionY,352][tileX,247][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,16][positionY,376][tileX,2][tileY,47][entitytype,GRASS][sprite,winterL][area,FARM]}
PLACEABLE{[positionX,184][positionY,344][tileX,23][tileY,43][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,472][positionY,352][tileX,59][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1016][positionY,352][tileX,127][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1104][positionY,352][tileX,138][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1160][positionY,352][tileX,145][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1168][positionY,352][tileX,146][tileY,44][entitytype,GRASS][sprite,winterR][area,FARM]}
PLACEABLE{[positionX,1592][positionY,344][tileX,199][tileY,43][entitytype,GRASS][sprite,winterL][area,FARM]}
PLACEABLE{[positionX,1600][positionY,344][tileX,200][tileY,43][entitytype,GRASS][sprite,winterR][area,FARM]}
PLACEABLE{[positionX,1136][positionY,352][tileX,142][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1296][positionY,352][tileX,162][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1504][positionY,352][tileX,188][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1680][positionY,344][tileX,210][tileY,43][entitytype,GRASS][sprite,winterR][area,FARM]}
PLACEABLE{[positionX,1792][positionY,352][tileX,224][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,2016][positionY,352][tileX,252][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,168][positionY,352][tileX,21][tileY,44][entitytype,GRASS][sprite,winterR][area,FARM]}
PLACEABLE{[positionX,1584][positionY,352][tileX,198][tileY,44][entitytype,GRASS][sprite,winterR][area,FARM]}
PLACEABLE{[positionX,1912][positionY,352][tileX,239][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1920][positionY,352][tileX,240][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,2040][positionY,352][tileX,255][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,248][positionY,336][tileX,31][tileY,42][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1144][positionY,352][tileX,143][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1368][positionY,352][tileX,171][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1856][positionY,360][tileX,232][tileY,45][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,256][positionY,336][tileX,32][tileY,42][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1264][positionY,376][tileX,158][tileY,47][entitytype,GRASS][sprite,winter][area,FARM]}
PLACEABLE{[positionX,136][positionY,352][tileX,17][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1752][positionY,352][tileX,219][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,424][positionY,352][tileX,53][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1024][positionY,352][tileX,128][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,2032][positionY,352][tileX,254][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,56][positionY,384][tileX,7][tileY,48][entitytype,GRASS][sprite,winter][area,FARM]}
